Titre,Restauration des récifs coralliens,
Catégorie,"Océan, Coraux tropicaux",
Photo,https://drive.google.com/file/d/10P2Wtc17zkmepXqYy_dQYYLg-NeyIEku/view?usp=drive_link,
Entreprise,Trilogy Ocean Restoration,
,https://linktr.ee/underwatergardeners,
Localisation,"Indonésie, Karimunjawa",
Montant,30€/corail,
Description,Restaurer les récifs coralliens en implantant de nouveaux fragments de corail et en recréant des zones de biodiversité active.,
En retour,Photo + localisation du corail,
Objectif total,15 000€,
Ou prix par pack ,"3 coraux → 55 € (18,3€/corail)",
,"6 coraux → 100 € (16,6€/corail)",
,12 coraux (mini araignée) → 180 € (15€/corail),
,"18 coraux (araignée complète) → 250 € (13,8€/corail)",
,,
🧩 Impact par 1 corail,🪸 1 corail restauré,
,🌱 60–85% de chance de survie (12 mois),
,🐠 1 micro-habitat créé,
,"🌊 0,02 m² de récif en régénération",
,🔁 impact cumulatif avec les autres coraux,
,,
🧩 Impact par pack araignée (18 coraux),🪸 18 coraux restaurés,
,🌱 11 à 15 coraux survivants (12 mois),📸 Ce que reçoit l’utilisateur
,🐠 10 à 20 habitats marins recréés,
,"🌊 0,3 à 0,5 m² de récif restauré",📜 Certificat d’adoption
,🧱 1 structure récifale complète,📍 Localisation du corail
,,📷 Photo ou suivi du corail
,,📈 Mise à jour sur la croissance
,📊 Impact attendu,
,🌊 Environnemental,
,Recréation d’habitats marins,
,Augmentation de la biodiversité,
,Protection des côtes contre l’érosion,
,🐠 Biodiversité,
,Retour des poissons tropicaux,
,Développement d’écosystèmes complets,
,Soutien aux chaînes alimentaires marines,
,👨‍👩‍👧‍👦 Social & économique,
,Emploi de plongeurs et équipes locales,
,Développement d’un tourisme durable,
,Sensibilisation des populations locales,
,,
,Les projets environnementaux contribuent généralement à améliorer les services écosystémiques et la résilience des communautés locales face au changement climatique.,
