Espèce (propre à toutes les espèces),exempl.,Commentaires
Nom commun,Abeille Européenne,
Nom alternatif,"Avette, Mouche à miel, ...",Plusieurs nom possible
Nom latin,Apis mellifera,
Bioscore,10/10,Score d'impact sur la biodiversité de l'espèce par rapport à l'ensemble des espèces.
Taille,"1 - 1,5cm",
Poids,"~ 0,1 g",
Description de l'espèce,L'Abeille Blanche (Apis mellifera albina) est une sous-espèce d'abeille caractérisée par sa couleur claire.,
Impact sur la biodiversité,"Pollinisation et reproduction des plantes, dont une grande partie de nos fruits et légumes, maintien de la biodiversité.",
Habitat,"Jardins, champs fleuris, forêts, où elles trouvent des fleurs pour le pollen et le nectar nécéssaires à leur survie.",
Régime alimentaire,Nectavirore,
Groupe,Ruche,
Nrb pour former un groupe,50 000,
Lien Wikipédia,https://fr.wikipedia.org/wiki/Apis_mellifera,
Photo principale,,
Icone principale,,
Bot IA de l'espèce,,Bot qui réponds au question en se mettant à la place de l'espèce
,,
Elements associé (impact),,Dynamique
Badges espèce,,Dynamique
Catégorie espèce,,Dynamique
Parcelle,,Dynamique
Projet,,Dynamique
Entreprise,,Dynamique
Produits,,Dynamique
